Token 0,Token 1,Fee,tickSpacing,Pool,Tx Hash,BlockNumber
0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0xC4dCb3714a24A4F4B4A6AE5c8c72a0651F250b1A,10000,200,0x53dD9E592Dabf5A8A9b9Be7069617683deD3F901,0xaa8ae63eb237faeffef8f9eab6c45322155e041dcc3d307efeb4cf575aba8461,33861955
0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0xB0B195aEFA3650A6908f15CdaC7D92F8a5791B0B,100,1,0x9b47159882359E09efFa313d5E50e7d261f56679,0x48af4ea6c5b54f0488da590d642540d87fcd718146eb73bf09ddfb36c6c4ae15,33868335
0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0xabE1a652CbC6eB1782B5De4E800f8bf714AaF5D0,100,1,0xCB5C9370f6f291aF9AEd0AB21030B38C3ce7D5eC,0xca11aadc54ff240d53a0a3c59a24727bb92ca610e53ecb4b5a93b332021348d0,33871317
0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0xc0283cD5Cca4E13136505bb3231DBf790832Fd95,3000,60,0x533AB14B3fBC50F0D09948C2676AA2F03511B654,0x344dd6d7cf23230f26fcb563ecd18476b806a2988bbc901f38c9e80d649aa361,33872626
0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x548a29332F06C0e6ECaC083dC8ff876e0f44Bb68,3000,60,0xEdf73A165B6B1cD0AA44a919dAA796b324bc12b0,0x5a4e799f501df220da464234f9e9f36d03748c25b6c60c05c4b657911c2374d3,33874502
0xa1D845608cf6DF1080b47336259Ef79690Edf16C,0xE3761F2A1651ec2d2fE49F6efCcA008dAEcFB3eB,100,1,0xF1CBaaB5Be1697A2e208013Bfeb749EEfF462fa9,0x2a2ad7306e8767703ee6abb2d39d8e3110ad18c4cf39cd0b8fb492c11fe30134,33887099
0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0xed7420e5257dA0b8B7dCf5af5796B0738Cc67941,100,1,0x1BB3766910989116715b87896Fb9Aa003d493076,0x6bc0d975086226b6f6709ba8e76d482ee1fd3be7f91955a045e9efb6de7f936f,33887633
0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0xb41c43faBD22A6C6ea135e975769e9051f9ee8ad,3000,60,0x6Caf88828A320d3AA2E71392A68d1716076507e8,0xfbd05cc723644065718ef7ffb0807ea0bb89159389dd56d10fab15d4f98e7405,33887820
0x0169eC1f8f639B32Eec6D923e24C2A2ff45B9DD6,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,500,10,0x001c64206c16EDdCfae3490846937734E9b3454b,0x345698942ffab6a2907e8bea415292df259506622539970028438daa4f187f4d,33889056
0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x9Fd41F6f67D4438f0e3Dc3951eAE0ad2093492Dd,10000,200,0x4199d3F43ab9cF5FF02B5725Fde2C7113275AD67,0x17dcb7cedcc591fa409ffe0b9d489060389c07310260d14b49e9b1d485d2da01,33889829
0x0266F4F08D82372CF0FcbCCc0Ff74309089c74d1,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,3000,60,0x9d029C241F26D8072aBf1da4bCB31B39Da55A0Ba,0x96a59c80b195db985d3af3a636945aef8008a0fe143722d0944287090507d378,33890736
0x2319575593eA221Ab4515B49352300cD30d70362,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,3000,60,0x39F3a3F811742472d23F48002464323015e161BF,0xc2737090854270707b9ee3ae4e79395ea5fa6addd0a5d7e643429868caf55e33,33892534
0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0xe374C8917870ac205aD270E0182FAD22f45d99c0,10000,200,0x3d7d99E9d69C70c3D7D1b548CF1e62035692f69a,0x0200d1a5acf359460d082e4c53f0d4912c294b372b1ff9fa8de0f63b2eb2d02e,33893035
0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0x5118aeC3AfCca3f1e21733eE9C88BB800AFE6F7b,3000,60,0x2a3BDb10C5c5D5Dfc1A6fe76480D65767b60ebB0,0xa4b6f719e10120f166aa100101625784ffc4c2e6781991a3e1ffd8311f364c38,33894726
0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0x5118aeC3AfCca3f1e21733eE9C88BB800AFE6F7b,10000,200,0xad37eadd6353f8d954Fd46ebFBBA27b291478540,0xddfedcf8bec1cd89a2865d6c1ac59937f62d2d9b98a121122a65237429833715,33895560
0x0169eC1f8f639B32Eec6D923e24C2A2ff45B9DD6,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,100,1,0x4419EBf52fFB298B4BBbc45ca11511Ae7cbf6d08,0x3ba5f3f8dfd3a5615dedbf32b49574feb4cb10e1ae593686c77f927daff24484,33897039
0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,0x91Ce4B19F812F0cd82f4f1c4Dd5699d7d7C09a63,3000,60,0xb57E9c6615d0CA8A5212Db553fF5eCB1897E1E74,0x8fcaaa645cdf0990155573daa0b65c658d552c6233cde448280101df783af22e,33897891
0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0xB5C064F955D8e7F38fE0460C556a72987494eE17,10000,200,0x7aEB1C9C646734CE6576219fe7c41f7fc96938bd,0xc265167e8d6aa2872ed903633594e295bf13586f51658a38b54eb344838dfee4,33912438
0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x3d0A833B245995D62810B0ce54c39f4D72aD6aE2,100,1,0xaF4BC2316bF395634C555585385b91dB35759fC1,0x72448a9ce1d6425354580407d36d61f070fb0627ad2ae45d2cb6665eea65096c,33915132
0x18ec0A6E18E5bc3784fDd3a3634b31245ab704F6,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,10000,200,0x582E3881C667b53dCF4bE4d7C1C61FF84EB9FDc5,0x93d0d04ba5f3a955fdb37a99183916daf6aca4953abbfc3f4cf030d4aaa49cb3,33916683
